STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,235,950100,48235950100,2016-01-19,3
48,235,950100,48235950100,2016-01-22,2
48,235,950100,48235950100,2016-01-23,1
48,235,950100,48235950100,2016-01-28,1
48,235,950100,48235950100,2016-01-29,1
48,235,950100,48235950100,2016-02-23,3
48,235,950100,48235950100,2016-02-25,1
48,235,950100,48235950100,2016-03-02,1
48,235,950100,48235950100,2016-03-04,4
48,235,950100,48235950100,2016-03-20,1
48,235,950100,48235950100,2016-03-23,1
48,235,950100,48235950100,2016-04-27,6
48,235,950100,48235950100,2016-05-09,2
48,235,950100,48235950100,2016-06-09,1
48,235,950100,48235950100,2016-07-04,1
48,235,950100,48235950100,2016-08-24,2
48,235,950100,48235950100,2016-08-25,2
48,235,950100,48235950100,2016-08-26,1
48,235,950100,48235950100,2016-08-30,3
48,235,950100,48235950100,2016-09-14,1
48,235,950100,48235950100,2016-10-24,1
48,235,950100,48235950100,2016-10-30,1
48,235,950100,48235950100,2017-01-08,1
48,235,950100,48235950100,2017-02-07,1
48,235,950100,48235950100,2017-04-09,3
48,235,950100,48235950100,2017-04-11,1
48,235,950100,48235950100,2017-04-18,1
48,235,950100,48235950100,2017-05-05,1
48,235,950100,48235950100,2017-05-08,1
48,235,950100,48235950100,2017-05-20,1
48,235,950100,48235950100,2017-06-24,3
48,235,950100,48235950100,2017-07-18,1
48,235,950100,48235950100,2017-07-19,1
48,235,950100,48235950100,2017-07-21,1
48,235,950100,48235950100,2017-09-01,2
48,235,950100,48235950100,2017-09-02,2
48,235,950100,48235950100,2017-09-04,8
48,235,950100,48235950100,2017-09-06,1
48,235,950100,48235950100,2017-09-07,6
48,235,950100,48235950100,2017-09-08,6
48,235,950100,48235950100,2017-09-09,1
48,235,950100,48235950100,2017-09-10,1
48,235,950100,48235950100,2017-09-11,5
48,235,950100,48235950100,2017-09-12,5
48,235,950100,48235950100,2017-09-23,1
48,235,950100,48235950100,2017-10-06,8
48,235,950100,48235950100,2017-10-25,3
48,235,950100,48235950100,2017-10-29,2
48,235,950100,48235950100,2017-11-03,2
